 human_inf_a_1: "£unit_1£ Human Archer"
 gnome_cav_b_2DESCR: ""
 gnome_art_a_2: "£unit_2£ Gnome Catapult"
 gnome_art_a_2DESCR: ""
 gnome_art_b_2: "£unit_2£ Gnome Trebuchet"
 gnome_art_b_2DESCR: ""
 gnome_inf_a_3: "£unit_3£ Gnome Archer"
 gnome_inf_a_3DESCR: ""
 gnome_inf_b_3: "£unit_3£ Gnome Warrior"
 gnome_inf_b_3DESCR: ""
 gnome_inf_c_3: "£unit_3£ Gnome Spellcaster"
 gnome_inf_c_3DESCR: ""
 gnome_cav_a_3: "£unit_3£ Gnome Light Cavalry"
 gnome_cav_a_3DESCR: ""
 gnome_cav_b_3: "£unit_3£ Gnome Heavy Cavalry"
 gnome_cav_b_3DESCR: ""
 gnome_art_a_3: "£unit_3£ Gnome Catapult"
 gnome_art_a_3DESCR: ""
 gnome_art_b_3: "£unit_3£ Gnome Trebuchet"
 gnome_art_b_3DESCR: ""
 gnome_inf_a_4: "£unit_4£ Gnome Archer"
 gnome_inf_a_4DESCR: ""
 gnome_inf_b_4: "£unit_4£ Gnome Warrior"
 gnome_inf_b_4DESCR: ""
 gnome_inf_c_4: "£unit_4£ Gnome Spellcaster"
 gnome_inf_c_4DESCR: ""
 gnome_cav_a_4: "£unit_4£ Gnome Light Cavalry"
 gnome_cav_a_4DESCR: ""
 gnome_cav_b_4: "£unit_4£ Gnome Heavy Cavalry"
 gnome_cav_b_4DESCR: ""
 gnome_art_a_4: "£unit_4£ Gnome Catapult"
 gnome_art_a_4DESCR: ""
 gnome_art_b_4: "£unit_4£ Gnome Trebuchet"
 gnome_art_b_4DESCR: ""
 gnome_inf_a_5: "£unit_5£ Gnome Archer"
 gnome_inf_a_5DESCR: ""
 gnome_inf_b_5: "£unit_5£ Gnome Warrior"
 gnome_inf_b_5DESCR: ""
 gnome_inf_c_5: "£unit_5£ Gnome Spellcaster"
 gnome_inf_c_5DESCR: ""
 gnome_cav_a_5: "£unit_5£ Gnome Light Cavalry"
 gnome_cav_a_5DESCR: ""
 gnome_cav_b_5: "£unit_5£ Gnome Heavy Cavalry"
 gnome_cav_b_5DESCR: ""
 gnome_art_a_5: "£unit_5£ Gnome Catapult"
 gnome_art_a_5DESCR: ""
 gnome_art_b_5: "£unit_5£ Gnome Trebuchet"
 gnome_art_b_5DESCR: ""

 goblin_inf_a_1: "£unit_1£ Goblin Archer"
 goblin_inf_a_1DESCR: ""
 goblin_inf_b_1: "£unit_1£ Goblin Warrior"
 goblin_inf_b_1DESCR: ""
 goblin_inf_c_1: "£unit_1£ Goblin Spellcaster"
 goblin_inf_c_1DESCR: ""
 goblin_cav_a_1: "£unit_1£ Goblin Light Cavalry"
 goblin_cav_a_1DESCR: ""
 goblin_cav_b_1: "£unit_1£ Goblin Heavy Cavalry"
 goblin_cav_b_1DESCR: ""
 goblin_art_a_1: "£unit_1£ Goblin Catapult"
 goblin_art_a_1DESCR: ""
 goblin_art_b_1: "£unit_1£ Goblin Trebuchet"
 goblin_art_b_1DESCR: ""
 goblin_inf_a_2: "£unit_2£ Goblin Archer"
 goblin_inf_a_2DESCR: ""
 goblin_inf_b_2: "£unit_2£ Goblin Warrior"
 goblin_inf_b_2DESCR: ""
 goblin_inf_c_2: "£unit_2£ Goblin Spellcaster"
 goblin_inf_c_2DESCR: ""
 goblin_cav_a_2: "£unit_2£ Goblin Light Cavalry"
 goblin_cav_a_2DESCR: ""
 goblin_cav_b_2: "£unit_2£ Goblin Heavy Cavalry"
 goblin_cav_b_2DESCR: ""
 goblin_art_a_2: "£unit_2£ Goblin Catapult"
 goblin_art_a_2DESCR: ""
 goblin_art_b_2: "£unit_2£ Goblin Trebuchet"
 goblin_art_b_2DESCR: ""
 goblin_inf_a_3: "£unit_3£ Goblin Archer"
 goblin_inf_a_3DESCR: ""
 goblin_inf_b_3: "£unit_3£ Goblin Warrior"
 goblin_inf_b_3DESCR: ""
 goblin_inf_c_3: "£unit_3£ Goblin Spellcaster"
 goblin_inf_c_3DESCR: ""
 goblin_cav_a_3: "£unit_3£ Goblin Light Cavalry"
 goblin_cav_a_3DESCR: ""
 goblin_cav_b_3: "£unit_3£ Goblin Heavy Cavalry"
 goblin_cav_b_3DESCR: ""
 goblin_art_a_3: "£unit_3£ Goblin Catapult"
 goblin_art_a_3DESCR: ""
 goblin_art_b_3: "£unit_3£ Goblin Trebuchet"
 goblin_art_b_3DESCR: ""
 goblin_inf_a_4: "£unit_4£ Goblin Archer"
 goblin_inf_a_4DESCR: ""
 goblin_inf_b_4: "£unit_4£ Goblin Warrior"
 goblin_inf_b_4DESCR: ""
 goblin_inf_c_4: "£unit_4£ Goblin Spellcaster"
 goblin_inf_c_4DESCR: ""
 goblin_cav_a_4: "£unit_4£ Goblin Light Cavalry"
 goblin_cav_a_4DESCR: ""
 goblin_cav_b_4: "£unit_4£ Goblin Heavy Cavalry"
 goblin_cav_b_4DESCR: ""
 goblin_art_a_4: "£unit_4£ Goblin Catapult"
 goblin_art_a_4DESCR: ""
 goblin_art_b_4: "£unit_4£ Goblin Trebuchet"
 goblin_art_b_4DESCR: ""
 goblin_inf_a_5: "£unit_5£ Goblin Archer"
 goblin_inf_a_5DESCR: ""
 goblin_inf_b_5: "£unit_5£ Goblin Warrior"
 goblin_inf_b_5DESCR: ""
 goblin_inf_c_5: "£unit_5£ Goblin Spellcaster"
 goblin_inf_c_5DESCR: ""
 goblin_cav_a_5: "£unit_5£ Goblin Light Cavalry"
 goblin_cav_a_5DESCR: ""
 goblin_cav_b_5: "£unit_5£ Goblin Heavy Cavalry"
 goblin_cav_b_5DESCR: ""
 goblin_art_a_5: "£unit_5£ Goblin Catapult"
 goblin_art_a_5DESCR: ""
 goblin_art_b_5: "£unit_5£ Goblin Trebuchet"
 goblin_art_b_5DESCR: ""

 gorloc_inf_a_1: "£unit_1£ Gorloc Archer"
 gorloc_inf_a_1DESCR: ""
 gorloc_inf_b_1: "£unit_1£ Gorloc Warrior"
 gorloc_inf_b_1DESCR: ""
 gorloc_inf_c_1: "£unit_1£ Gorloc Spellcaster"
 gorloc_inf_c_1DESCR: ""
 gorloc_cav_a_1: "£unit_1£ Gorloc Light Cavalry"
 gorloc_cav_a_1DESCR: ""
 gorloc_cav_b_1: "£unit_1£ Gorloc Heavy Cavalry"
 gorloc_cav_b_1DESCR: ""
 gorloc_art_a_1: "£unit_1£ Gorloc Catapult"
 gorloc_art_a_1DESCR: ""
 gorloc_art_b_1: "£unit_1£ Gorloc Trebuchet"
 gorloc_art_b_1DESCR: ""
 gorloc_inf_a_2: "£unit_2£ Gorloc Archer"
 gorloc_inf_a_2DESCR: ""
 gorloc_inf_b_2: "£unit_2£ Gorloc Warrior"
 gorloc_inf_b_2DESCR: ""
 gorloc_inf_c_2: "£unit_2£ Gorloc Spellcaster"
 gorloc_inf_c_2DESCR: ""
 gorloc_cav_a_2: "£unit_2£ Gorloc Light Cavalry"
 gorloc_cav_a_2DESCR: ""
 gorloc_cav_b_2: "£unit_2£ Gorloc Heavy Cavalry"
 gorloc_cav_b_2DESCR: ""
 gorloc_art_a_2: "£unit_2£ Gorloc Catapult"
 gorloc_art_a_2DESCR: ""
 gorloc_art_b_2: "£unit_2£ Gorloc Trebuchet"
 gorloc_art_b_2DESCR: ""
 gorloc_inf_a_3: "£unit_3£ Gorloc Archer"
 gorloc_inf_a_3DESCR: ""
 gorloc_inf_b_3: "£unit_3£ Gorloc Warrior"
 gorloc_inf_b_3DESCR: ""
 gorloc_inf_c_3: "£unit_3£ Gorloc Spellcaster"
 gorloc_inf_c_3DESCR: ""
 gorloc_cav_a_3: "£unit_3£ Gorloc Light Cavalry"
 gorloc_cav_a_3DESCR: ""
 gorloc_cav_b_3: "£unit_3£ Gorloc Heavy Cavalry"
 gorloc_cav_b_3DESCR: ""
 gorloc_art_a_3: "£unit_3£ Gorloc Catapult"
 gorloc_art_a_3DESCR: ""
 gorloc_art_b_3: "£unit_3£ Gorloc Trebuchet"
 gorloc_art_b_3DESCR: ""
 gorloc_inf_a_4: "£unit_4£ Gorloc Archer"
 gorloc_inf_a_4DESCR: ""
 gorloc_inf_b_4: "£unit_4£ Gorloc Warrior"
 gorloc_inf_b_4DESCR: ""
 gorloc_inf_c_4: "£unit_4£ Gorloc Spellcaster"
 gorloc_inf_c_4DESCR: ""
 gorloc_cav_a_4: "£unit_4£ Gorloc Light Cavalry"
 gorloc_cav_a_4DESCR: ""
 gorloc_cav_b_4: "£unit_4£ Gorloc Heavy Cavalry"
 gorloc_cav_b_4DESCR: ""
 gorloc_art_a_4: "£unit_4£ Gorloc Catapult"
 gorloc_art_a_4DESCR: ""
 gorloc_art_b_4: "£unit_4£ Gorloc Trebuchet"
 gorloc_art_b_4DESCR: ""
 gorloc_inf_a_5: "£unit_5£ Gorloc Archer"
 gorloc_inf_a_5DESCR: ""
 gorloc_inf_b_5: "£unit_5£ Gorloc Warrior"
 gorloc_inf_b_5DESCR: ""
 gorloc_inf_c_5: "£unit_5£ Gorloc Spellcaster"
 gorloc_inf_c_5DESCR: ""
 gorloc_cav_a_5: "£unit_5£ Gorloc Light Cavalry"
 gorloc_cav_a_5DESCR: ""
 gorloc_cav_b_5: "£unit_5£ Gorloc Heavy Cavalry"
 gorloc_cav_b_5DESCR: ""
 gorloc_art_a_5: "£unit_5£ Gorloc Catapult"
 gorloc_art_a_5DESCR: ""
 gorloc_art_b_5: "£unit_5£ Gorloc Trebuchet"
 gorloc_art_b_5DESCR: ""

 harpy_inf_a_1: "£unit_1£ Harpy Archer"
 harpy_inf_a_1DESCR: ""
 harpy_inf_b_1: "£unit_1£ Harpy Warrior"
 harpy_inf_b_1DESCR: ""
 harpy_inf_c_1: "£unit_1£ Harpy Spellcaster"
 harpy_inf_c_1DESCR: ""
 harpy_cav_a_1: "£unit_1£ Harpy Light Cavalry"
 harpy_cav_a_1DESCR: ""
 harpy_cav_b_1: "£unit_1£ Harpy Heavy Cavalry"
 harpy_cav_b_1DESCR: ""
 harpy_art_a_1: "£unit_1£ Harpy Catapult"
 harpy_art_a_1DESCR: ""
 harpy_art_b_1: "£unit_1£ Harpy Trebuchet"
 harpy_art_b_1DESCR: ""
 harpy_inf_a_2: "£unit_2£ Harpy Archer"
 harpy_inf_a_2DESCR: ""
 harpy_inf_b_2: "£unit_2£ Harpy Warrior"
 harpy_inf_b_2DESCR: ""
 harpy_inf_c_2: "£unit_2£ Harpy Spellcaster"
 harpy_inf_c_2DESCR: ""
 harpy_cav_a_2: "£unit_2£ Harpy Light Cavalry"
 harpy_cav_a_2DESCR: ""
 harpy_cav_b_2: "£unit_2£ Harpy Heavy Cavalry"
 harpy_cav_b_2DESCR: ""
 harpy_art_a_2: "£unit_2£ Harpy Catapult"
 harpy_art_a_2DESCR: ""
 harpy_art_b_2: "£unit_2£ Harpy Trebuchet"
 harpy_art_b_2DESCR: ""
 harpy_inf_a_3: "£unit_3£ Harpy Archer"
 harpy_inf_a_3DESCR: ""
 harpy_inf_b_3: "£unit_3£ Harpy Warrior"
 harpy_inf_b_3DESCR: ""
 harpy_inf_c_3: "£unit_3£ Harpy Spellcaster"
 harpy_inf_c_3DESCR: ""
 harpy_cav_a_3: "£unit_3£ Harpy Light Cavalry"
 harpy_cav_a_3DESCR: ""
 harpy_cav_b_3: "£unit_3£ Harpy Heavy Cavalry"
 harpy_cav_b_3DESCR: ""
 harpy_art_a_3: "£unit_3£ Harpy Catapult"
 harpy_art_a_3DESCR: ""
 harpy_art_b_3: "£unit_3£ Harpy Trebuchet"
 harpy_art_b_3DESCR: ""
 harpy_inf_a_4: "£unit_4£ Harpy Archer"
 harpy_inf_a_4DESCR: ""
 harpy_inf_b_4: "£unit_4£ Harpy Warrior"
 harpy_inf_b_4DESCR: ""
 harpy_inf_c_4: "£unit_4£ Harpy Spellcaster"
 harpy_inf_c_4DESCR: ""
 harpy_cav_a_4: "£unit_4£ Harpy Light Cavalry"
 harpy_cav_a_4DESCR: ""
 harpy_cav_b_4: "£unit_4£ Harpy Heavy Cavalry"
 harpy_cav_b_4DESCR: ""
 harpy_art_a_4: "£unit_4£ Harpy Catapult"
 harpy_art_a_4DESCR: ""
 harpy_art_b_4: "£unit_4£ Harpy Trebuchet"
 harpy_art_b_4DESCR: ""
 harpy_inf_a_5: "£unit_5£ Harpy Archer"
 harpy_inf_a_5DESCR: ""
 harpy_inf_b_5: "£unit_5£ Harpy Warrior"
 harpy_inf_b_5DESCR: ""
 harpy_inf_c_5: "£unit_5£ Harpy Spellcaster"
 harpy_inf_c_5DESCR: ""
 harpy_cav_a_5: "£unit_5£ Harpy Light Cavalry"
 harpy_cav_a_5DESCR: ""
 harpy_cav_b_5: "£unit_5£ Harpy Heavy Cavalry"
 harpy_cav_b_5DESCR: ""
 harpy_art_a_5: "£unit_5£ Harpy Catapult"
 harpy_art_a_5DESCR: ""
 harpy_art_b_5: "£unit_5£ Harpy Trebuchet"
 harpy_art_b_5DESCR: ""

 hozen_inf_a_1: "£unit_1£ Hozen Archer"
 hozen_inf_a_1DESCR: ""
 hozen_inf_b_1: "£unit_1£ Hozen Warrior"
 hozen_inf_b_1DESCR: ""
 hozen_inf_c_1: "£unit_1£ Hozen Spellcaster"
 hozen_inf_c_1DESCR: ""
 hozen_cav_a_1: "£unit_1£ Hozen Light Cavalry"
 hozen_cav_a_1DESCR: ""
 hozen_cav_b_1: "£unit_1£ Hozen Heavy Cavalry"
 hozen_cav_b_1DESCR: ""
 hozen_art_a_1: "£unit_1£ Hozen Catapult"
 hozen_art_a_1DESCR: ""
 hozen_art_b_1: "£unit_1£ Hozen Trebuchet"
 hozen_art_b_1DESCR: ""
 hozen_inf_a_2: "£unit_2£ Hozen Archer"
 hozen_inf_a_2DESCR: ""
 hozen_inf_b_2: "£unit_2£ Hozen Warrior"
 hozen_inf_b_2DESCR: ""
 hozen_inf_c_2: "£unit_2£ Hozen Spellcaster"
 hozen_inf_c_2DESCR: ""
 hozen_cav_a_2: "£unit_2£ Hozen Light Cavalry"
 hozen_cav_a_2DESCR: ""
 hozen_cav_b_2: "£unit_2£ Hozen Heavy Cavalry"
 hozen_cav_b_2DESCR: ""
 hozen_art_a_2: "£unit_2£ Hozen Catapult"
 hozen_art_a_2DESCR: ""
 hozen_art_b_2: "£unit_2£ Hozen Trebuchet"
 hozen_art_b_2DESCR: ""
 hozen_inf_a_3: "£unit_3£ Hozen Archer"
 hozen_inf_a_3DESCR: ""
 hozen_inf_b_3: "£unit_3£ Hozen Warrior"
 hozen_inf_b_3DESCR: ""
 hozen_inf_c_3: "£unit_3£ Hozen Spellcaster"
 hozen_inf_c_3DESCR: ""
 hozen_cav_a_3: "£unit_3£ Hozen Light Cavalry"
 hozen_cav_a_3DESCR: ""
 hozen_cav_b_3: "£unit_3£ Hozen Heavy Cavalry"
 hozen_cav_b_3DESCR: ""
 hozen_art_a_3: "£unit_3£ Hozen Catapult"
 hozen_art_a_3DESCR: ""
 hozen_art_b_3: "£unit_3£ Hozen Trebuchet"
 hozen_art_b_3DESCR: ""
 hozen_inf_a_4: "£unit_4£ Hozen Archer"
 hozen_inf_a_4DESCR: ""
 hozen_inf_b_4: "£unit_4£ Hozen Warrior"
 hozen_inf_b_4DESCR: ""
 hozen_inf_c_4: "£unit_4£ Hozen Spellcaster"
 hozen_inf_c_4DESCR: ""
 hozen_cav_a_4: "£unit_4£ Hozen Light Cavalry"
 hozen_cav_a_4DESCR: ""
 hozen_cav_b_4: "£unit_4£ Hozen Heavy Cavalry"
 hozen_cav_b_4DESCR: ""
 hozen_art_a_4: "£unit_4£ Hozen Catapult"
 hozen_art_a_4DESCR: ""
 hozen_art_b_4: "£unit_4£ Hozen Trebuchet"
 hozen_art_b_4DESCR: ""
 hozen_inf_a_5: "£unit_5£ Hozen Archer"
 hozen_inf_a_5DESCR: ""
 hozen_inf_b_5: "£unit_5£ Hozen Warrior"
 hozen_inf_b_5DESCR: ""
 hozen_inf_c_5: "£unit_5£ Hozen Spellcaster"
 hozen_inf_c_5DESCR: ""
 hozen_cav_a_5: "£unit_5£ Hozen Light Cavalry"
 hozen_cav_a_5DESCR: ""
 hozen_cav_b_5: "£unit_5£ Hozen Heavy Cavalry"
 hozen_cav_b_5DESCR: ""
 hozen_art_a_5: "£unit_5£ Hozen Catapult"
 hozen_art_a_5DESCR: ""
 hozen_art_b_5: "£unit_5£ Hozen Trebuchet"
 hozen_art_b_5DESCR: ""

 jinyu_inf_a_1: "£unit_1£ Jinyu Archer"
 jinyu_inf_a_1DESCR: ""
 jinyu_inf_b_1: "£unit_1£ Jinyu Warrior"
 jinyu_inf_b_1DESCR: ""
 jinyu_inf_c_1: "£unit_1£ Jinyu Spellcaster"
 jinyu_inf_c_1DESCR: ""
 jinyu_cav_a_1: "£unit_1£ Jinyu Light Cavalry"
 jinyu_cav_a_1DESCR: ""
 jinyu_cav_b_1: "£unit_1£ Jinyu Heavy Cavalry"
 jinyu_cav_b_1DESCR: ""
 jinyu_art_a_1: "£unit_1£ Jinyu Catapult"
 jinyu_art_a_1DESCR: ""
 jinyu_art_b_1: "£unit_1£ Jinyu Trebuchet"
 jinyu_art_b_1DESCR: ""
 jinyu_inf_a_2: "£unit_2£ Jinyu Archer"
 jinyu_inf_a_2DESCR: ""
 jinyu_inf_b_2: "£unit_2£ Jinyu Warrior"
 jinyu_inf_b_2DESCR: ""
 jinyu_inf_c_2: "£unit_2£ Jinyu Spellcaster"
 jinyu_inf_c_2DESCR: ""
 jinyu_cav_a_2: "£unit_2£ Jinyu Light Cavalry"
 jinyu_cav_a_2DESCR: ""
 jinyu_cav_b_2: "£unit_2£ Jinyu Heavy Cavalry"
 jinyu_cav_b_2DESCR: ""
 jinyu_art_a_2: "£unit_2£ Jinyu Catapult"
 jinyu_art_a_2DESCR: ""
 jinyu_art_b_2: "£unit_2£ Jinyu Trebuchet"
 jinyu_art_b_2DESCR: ""
 jinyu_inf_a_3: "£unit_3£ Jinyu Archer"
 jinyu_inf_a_3DESCR: ""
 jinyu_inf_b_3: "£unit_3£ Jinyu Warrior"
 jinyu_inf_b_3DESCR: ""
 jinyu_inf_c_3: "£unit_3£ Jinyu Spellcaster"
 jinyu_inf_c_3DESCR: ""
 jinyu_cav_a_3: "£unit_3£ Jinyu Light Cavalry"
 jinyu_cav_a_3DESCR: ""
 jinyu_cav_b_3: "£unit_3£ Jinyu Heavy Cavalry"
 jinyu_cav_b_3DESCR: ""
 jinyu_art_a_3: "£unit_3£ Jinyu Catapult"
 jinyu_art_a_3DESCR: ""
 jinyu_art_b_3: "£unit_3£ Jinyu Trebuchet"
 jinyu_art_b_3DESCR: ""
 jinyu_inf_a_4: "£unit_4£ Jinyu Archer"
 jinyu_inf_a_4DESCR: ""
 jinyu_inf_b_4: "£unit_4£ Jinyu Warrior"
 jinyu_inf_b_4DESCR: ""
 jinyu_inf_c_4: "£unit_4£ Jinyu Spellcaster"
 jinyu_inf_c_4DESCR: ""
 jinyu_cav_a_4: "£unit_4£ Jinyu Light Cavalry"
 jinyu_cav_a_4DESCR: ""
 jinyu_cav_b_4: "£unit_4£ Jinyu Heavy Cavalry"
 jinyu_cav_b_4DESCR: ""
 jinyu_art_a_4: "£unit_4£ Jinyu Catapult"
 jinyu_art_a_4DESCR: ""
 jinyu_art_b_4: "£unit_4£ Jinyu Trebuchet"
 jinyu_art_b_4DESCR: ""
 jinyu_inf_a_5: "£unit_5£ Jinyu Archer"
 jinyu_inf_a_5DESCR: ""
 jinyu_inf_b_5: "£unit_5£ Jinyu Warrior"
 jinyu_inf_b_5DESCR: ""
 jinyu_inf_c_5: "£unit_5£ Jinyu Spellcaster"
 jinyu_inf_c_5DESCR: ""
 jinyu_cav_a_5: "£unit_5£ Jinyu Light Cavalry"
 jinyu_cav_a_5DESCR: ""
 jinyu_cav_b_5: "£unit_5£ Jinyu Heavy Cavalry"
 jinyu_cav_b_5DESCR: ""
 jinyu_art_a_5: "£unit_5£ Jinyu Catapult"
 jinyu_art_a_5DESCR: ""
 jinyu_art_b_5: "£unit_5£ Jinyu Trebuchet"
 jinyu_art_b_5DESCR: ""

 kobold_inf_a_1: "£unit_1£ Kobold Archer"
 kobold_inf_a_1DESCR: ""
 kobold_inf_b_1: "£unit_1£ Kobold Warrior"
 kobold_inf_b_1DESCR: ""
 kobold_inf_c_1: "£unit_1£ Kobold Spellcaster"
 kobold_inf_c_1DESCR: ""
 kobold_cav_a_1: "£unit_1£ Kobold Light Cavalry"
 kobold_cav_a_1DESCR: ""
 kobold_cav_b_1: "£unit_1£ Kobold Heavy Cavalry"
 kobold_cav_b_1DESCR: ""
 kobold_art_a_1: "£unit_1£ Kobold Catapult"
 kobold_art_a_1DESCR: ""
 kobold_art_b_1: "£unit_1£ Kobold Trebuchet"
 kobold_art_b_1DESCR: ""
 kobold_inf_a_2: "£unit_2£ Kobold Archer"
 kobold_inf_a_2DESCR: ""
 kobold_inf_b_2: "£unit_2£ Kobold Warrior"
 kobold_inf_b_2DESCR: ""
 kobold_inf_c_2: "£unit_2£ Kobold Spellcaster"
 kobold_inf_c_2DESCR: ""
 kobold_cav_a_2: "£unit_2£ Kobold Light Cavalry"
 kobold_cav_a_2DESCR: ""
 kobold_cav_b_2: "£unit_2£ Kobold Heavy Cavalry"
 kobold_cav_b_2DESCR: ""
 kobold_art_a_2: "£unit_2£ Kobold Catapult"
 kobold_art_a_2DESCR: ""
 kobold_art_b_2: "£unit_2£ Kobold Trebuchet"
 kobold_art_b_2DESCR: ""
 kobold_inf_a_3: "£unit_3£ Kobold Archer"
 kobold_inf_a_3DESCR: ""
 kobold_inf_b_3: "£unit_3£ Kobold Warrior"
 kobold_inf_b_3DESCR: ""
 kobold_inf_c_3: "£unit_3£ Kobold Spellcaster"
 kobold_inf_c_3DESCR: ""
 kobold_cav_a_3: "£unit_3£ Kobold Light Cavalry"
 kobold_cav_a_3DESCR: ""
 kobold_cav_b_3: "£unit_3£ Kobold Heavy Cavalry"
 kobold_cav_b_3DESCR: ""
 kobold_art_a_3: "£unit_3£ Kobold Catapult"
 kobold_art_a_3DESCR: ""
 kobold_art_b_3: "£unit_3£ Kobold Trebuchet"
 kobold_art_b_3DESCR: ""
 kobold_inf_a_4: "£unit_4£ Kobold Archer"
 kobold_inf_a_4DESCR: ""
 kobold_inf_b_4: "£unit_4£ Kobold Warrior"
 kobold_inf_b_4DESCR: ""
 kobold_inf_c_4: "£unit_4£ Kobold Spellcaster"
 kobold_inf_c_4DESCR: ""
 kobold_cav_a_4: "£unit_4£ Kobold Light Cavalry"
 kobold_cav_a_4DESCR: ""
 kobold_cav_b_4: "£unit_4£ Kobold Heavy Cavalry"
 kobold_cav_b_4DESCR: ""
 kobold_art_a_4: "£unit_4£ Kobold Catapult"
 kobold_art_a_4DESCR: ""
 kobold_art_b_4: "£unit_4£ Kobold Trebuchet"
 kobold_art_b_4DESCR: ""
 kobold_inf_a_5: "£unit_5£ Kobold Archer"
 kobold_inf_a_5DESCR: ""
 kobold_inf_b_5: "£unit_5£ Kobold Warrior"
 kobold_inf_b_5DESCR: ""
 kobold_inf_c_5: "£unit_5£ Kobold Spellcaster"
 kobold_inf_c_5DESCR: ""
 kobold_cav_a_5: "£unit_5£ Kobold Light Cavalry"
 kobold_cav_a_5DESCR: ""
 kobold_cav_b_5: "£unit_5£ Kobold Heavy Cavalry"
 kobold_cav_b_5DESCR: ""
 kobold_art_a_5: "£unit_5£ Kobold Catapult"
 kobold_art_a_5DESCR: ""
 kobold_art_b_5: "£unit_5£ Kobold Trebuchet"
 kobold_art_b_5DESCR: ""

 magnataur_inf_a_1: "£unit_1£ Magnataur Archer"
 magnataur_inf_a_1DESCR: ""
 magnataur_inf_b_1: "£unit_1£ Magnataur Warrior"
 magnataur_inf_b_1DESCR: ""
 magnataur_inf_c_1: "£unit_1£ Magnataur Spellcaster"
 magnataur_inf_c_1DESCR: ""
 magnataur_cav_a_1: "£unit_1£ Magnataur Light Cavalry"
 magnataur_cav_a_1DESCR: ""
 magnataur_cav_b_1: "£unit_1£ Magnataur Heavy Cavalry"
 magnataur_cav_b_1DESCR: ""
 magnataur_art_a_1: "£unit_1£ Magnataur Catapult"
 magnataur_art_a_1DESCR: ""
 magnataur_art_b_1: "£unit_1£ Magnataur Trebuchet"
 magnataur_art_b_1DESCR: ""
 magnataur_inf_a_2: "£unit_2£ Magnataur Archer"
 magnataur_inf_a_2DESCR: ""
 magnataur_inf_b_2: "£unit_2£ Magnataur Warrior"
 magnataur_inf_b_2DESCR: ""
 magnataur_inf_c_2: "£unit_2£ Magnataur Spellcaster"
 magnataur_inf_c_2DESCR: ""
 magnataur_cav_a_2: "£unit_2£ Magnataur Light Cavalry"
 magnataur_cav_a_2DESCR: ""
 magnataur_cav_b_2: "£unit_2£ Magnataur Heavy Cavalry"
 magnataur_cav_b_2DESCR: ""
 magnataur_art_a_2: "£unit_2£ Magnataur Catapult"
 magnataur_art_a_2DESCR: ""
 magnataur_art_b_2: "£unit_2£ Magnataur Trebuchet"
 magnataur_art_b_2DESCR: ""
 magnataur_inf_a_3: "£unit_3£ Magnataur Archer"
 magnataur_inf_a_3DESCR: ""
 magnataur_inf_b_3: "£unit_3£ Magnataur Warrior"
 magnataur_inf_b_3DESCR: ""
 magnataur_inf_c_3: "£unit_3£ Magnataur Spellcaster"
 magnataur_inf_c_3DESCR: ""
 magnataur_cav_a_3: "£unit_3£ Magnataur Light Cavalry"
 magnataur_cav_a_3DESCR: ""
 magnataur_cav_b_3: "£unit_3£ Magnataur Heavy Cavalry"
 magnataur_cav_b_3DESCR: ""
 magnataur_art_a_3: "£unit_3£ Magnataur Catapult"
 magnataur_art_a_3DESCR: ""
 magnataur_art_b_3: "£unit_3£ Magnataur Trebuchet"
 magnataur_art_b_3DESCR: ""
 magnataur_inf_a_4: "£unit_4£ Magnataur Archer"
 magnataur_inf_a_4DESCR: ""
 magnataur_inf_b_4: "£unit_4£ Magnataur Warrior"
 magnataur_inf_b_4DESCR: ""
 magnataur_inf_c_4: "£unit_4£ Magnataur Spellcaster"
 magnataur_inf_c_4DESCR: ""
 magnataur_cav_a_4: "£unit_4£ Magnataur Light Cavalry"
 magnataur_cav_a_4DESCR: ""
 magnataur_cav_b_4: "£unit_4£ Magnataur Heavy Cavalry"
 magnataur_cav_b_4DESCR: ""
 magnataur_art_a_4: "£unit_4£ Magnataur Catapult"
 magnataur_art_a_4DESCR: ""
 magnataur_art_b_4: "£unit_4£ Magnataur Trebuchet"
 magnataur_art_b_4DESCR: ""
 magnataur_inf_a_5: "£unit_5£ Magnataur Archer"
 magnataur_inf_a_5DESCR: ""
 magnataur_inf_b_5: "£unit_5£ Magnataur Warrior"
 magnataur_inf_b_5DESCR: ""
 magnataur_inf_c_5: "£unit_5£ Magnataur Spellcaster"
 magnataur_inf_c_5DESCR: ""
 magnataur_cav_a_5: "£unit_5£ Magnataur Light Cavalry"
 magnataur_cav_a_5DESCR: ""
 magnataur_cav_b_5: "£unit_5£ Magnataur Heavy Cavalry"
 magnataur_cav_b_5DESCR: ""
 magnataur_art_a_5: "£unit_5£ Magnataur Catapult"
 magnataur_art_a_5DESCR: ""
 magnataur_art_b_5: "£unit_5£ Magnataur Trebuchet"
 magnataur_art_b_5DESCR: ""

 mogu_inf_a_1: "£unit_1£ Mogu Archer"
 mogu_inf_a_1DESCR: ""
 mogu_inf_b_1: "£unit_1£ Mogu Warrior"
 mogu_inf_b_1DESCR: ""
 mogu_inf_c_1: "£unit_1£ Mogu Spellcaster"
 mogu_inf_c_1DESCR: ""
 mogu_cav_a_1: "£unit_1£ Mogu Light Cavalry"
 mogu_cav_a_1DESCR: ""
 mogu_cav_b_1: "£unit_1£ Mogu Heavy Cavalry"
