 PROV1: "Broken Hills Mine"
 PROV982: "Holbrook"
 PROV983: "Nassau"
 PROV984: "Winchester"
 PROV985: "Susanville"
 PROV986: "Sierra Mojada"
 PROV987: "Dry Wells"
 PROV988: "Tupelo"
 PROV989: "Utica"
 PROV990: "Galeslock"
 PROV991: "Colorado Trail"
 PROV992: "Two Sun"
 PROV993: "Oakland"
 PROV994: "Portland"
 PROV995: "Greenwood"
 PROV996: "Sierra Nada"
 PROV997: "Bralorne"
 PROV998: "Fort Hagen"
 PROV999: "Verde Passage"
 PROV1000: "Vaughn"
 PROV1001: "Martinsburg"
 PROV1002: "Bayamo"
 PROV1003: "Vincennes"
 PROV1004: "La Cruz"
 PROV1005: "Modoc"
 PROV1006: "Vault 95"
 PROV1007: "Benchnut"
 PROV1008: "Progresso"
 PROV1009: "Leesburg"
 PROV1010: "HolguÃ­n"
 PROV1011: "Killington"
 PROV1012: "Tallahasee"
 PROV1013: "San Angelo"
 PROV1014: "Hereford"
 PROV1015: "Gila"
 PROV1016: "Vicksburg"
 PROV1017: "Newburg"
 PROV1018: "WRVR Broadcast Station"
 PROV1019: "Bismarck"
 PROV1020: "Ash Springs"
 PROV1021: "Eureka"
 PROV1022: "Red Rock Canyon"
 PROV1023: "Nuevitas"
 PROV1024: "Salisbury"
 PROV1025: "Sulphur"
 PROV1026: "Meridian"
 PROV1027: "Woodbury"
 PROV1028: "Gunners Plaza"
 PROV1029: "Steelan"
 PROV1030: "Northern Passage"
 PROV1031: "Chafee"
 PROV1032: "Woodville"
 PROV1033: "Moron"
 PROV1034: "Pittsfield"
 PROV1035: "Lovelock"
 PROV1036: "Sulphur Springs"
 PROV1037: "Orlando"
 PROV1038: "Hattiesburg"
 PROV1039: "Newark"
 PROV1040: "Belysaton"
 PROV1041: "Warfad"
 PROV1042: "Lockhart"
 PROV1043: "Old Rockville"
 PROV1044: "The Steelyard"
 PROV1045: "Decorah"
 PROV1046: "Nixon"
 PROV1047: "Acuna"
 PROV1048: "Morristown"
 PROV1049: "Vault 81"
 PROV1050: "Glowing Pass"
 PROV1051: "Elizabethtown"
 PROV1052: "Downtown"
 PROV1053: "Trinidad"
 PROV1054: "Huron"
 PROV1055: "Herlong"
 PROV1056: "Canton"
 PROV1057: "Sanctuary"
 PROV1058: "Jamaica Plain"
 PROV1059: "The Glowing Sea"
 PROV1060: "Paklo"
 PROV1061: "Mass Fusion Disposal Site"
 PROV1062: "Gulfport"
 PROV1063: "Altamira"
 PROV1064: "Willistan"
 PROV1065: "Florence"
 PROV1066: "Uptown"
 PROV1067: "Wintum"
 PROV1068: "ColÃ³n"
 PROV1069: "Rockford"
 PROV1070: "Chihuahua"
 PROV1071: "" # East Coast Wasteland
 PROV1072: "Huntsville"
 PROV1073: "Edison"
 PROV1074: "Tuscarora"
 PROV1075: "Aldama"
 PROV1076: "Toagi"
 PROV1077: "Whittier Fortress"
 PROV1078: "Canterbury Commons"
 PROV1079: "Havana"
 PROV1080: "West Bend"
 PROV1081: "Yuma"
 PROV1082: "Gonzales"
 PROV1083: "New Reno"
 PROV1084: "Atmore"
 PROV1085: "Brick"
 PROV1086: "Manuel"
 PROV1087: "Pierre"
 PROV1088: "Downtown"
 PROV1089: "Duchesne"
 PROV1090: "Nueva Gerona"
 PROV1091: "Aurora"
 PROV1092: "San Luis"
 PROV1093: "Hermosillo"
 PROV1094: "Guntoo"
 PROV1095: "Jasper"
 PROV1096: "Vineland"
 PROV1097: "Carrinti"
 PROV1098: "Santa Barbara"
 PROV1099: "Nephi"
 PROV1100: "Portland"
 PROV1101: "Naperville"
 PROV1102: "Sandy Flats"
 PROV1103: "Fairfield"
 PROV1104: "Palmillas"
 PROV1105: "Warehouse Complex"
 PROV1106: "Provo Bay"
 PROV1107: "Ellensburg"
 PROV1108: "MÃ©rida"
 PROV1109: "Bakersfield"
 PROV1110: "Sonora"
 PROV1111: "Canyon City Repair Station"
 PROV1112: "Winisk"
 PROV1113: "Wabakimi"
 PROV1114: "Brandon"
 PROV1115: "Citronelle"
 PROV1116: "Jaumaye"
 PROV1117: "Moose"
 PROV1118: "Slutsmere"
 PROV1119: "Whitecliff"
 PROV1120: "Shacko"
 PROV1121: "Navojoa"
 PROV1122: "Cloves"
 PROV1123: "Shelby"
 PROV1124: "Paradise Falls"
 PROV1125: "Chippewa"
 PROV1126: "Sparta"
 PROV1127: "Tuel"
 PROV1128: "Kalico"
 PROV1129: "Carrizo"
 PROV1130: "Tacoma"
 PROV1131: "Ahome"
 PROV1132: "Tuscumbia"
 PROV1133: "La Paz"
 PROV1134: "Point Lookout"
 PROV1135: "Columbus"
 PROV1136: "Wolf Point"
 PROV1137: "Mesa Verde"
 PROV1138: "Shelbyville"
 PROV1139: "World of Refreshment"
 PROV1140: "Garcia"
 PROV1141: "Tvis"
 PROV1142: "Scranton"
 PROV1143: "Talara"
 PROV1144: "Guasave"
 PROV1145: "Kansas City"
 PROV1146: "Bahia Asuncion"
 PROV1147: "Oasis"
 PROV1148: "Eden"
 PROV1149: "Okmulgee"
 PROV1150: "Cleveland"
 PROV1151: "Estav"
 PROV1152: "Six Rivers"
 PROV1153: "Farmington"
 PROV1154: "Camp Golf"
 PROV1155: "Gemmit"
 PROV1156: "Santa Rosalia"
 PROV1157: "Super-Duper Mart"
 PROV1158: "Antlers"
 PROV1159: "Great Bend Steelworks"
 PROV1160: "Clarendon"
 PROV1161: "Sanders"
 PROV1162: "Lakota"
 PROV1163: "Dalhart"
 PROV1164: "Fresnillo"
 PROV1165: "Rockport"
 PROV1166: "REPCONN HQ"
 PROV1167: "Monclova"
 PROV1168: "Lakeview"
 PROV1169: "Winnebago"
 PROV1170: "Springvale"
 PROV1171: "Vault 19"
 PROV1172: "Memphis"
 PROV1173: "Autlan"
 PROV1174: "Mali"
 PROV1175: "Santa Fe"
 PROV1176: "Richlands"
 PROV1177: "New London"
 PROV1178: "Tepic"
 PROV1179: "Oklahoma City"
 PROV1180: "Arefu"
 PROV1181: "Manahoac"
 PROV1182: "Union City"
 PROV1183: "Guzman"
 PROV1184: "Aledria"
 PROV1185: "Sea Ranch"
 PROV1186: "Fort Wayne"
 PROV1187: "Urupan"
 PROV1188: "Ulysses"
 PROV1189: "Sauk"
 PROV1190: "Brenham"
 PROV1191: "Kelowna"
 PROV1192: "Milan"
 PROV1193: "Morelia"
 PROV1194: "Chequa"
 PROV1195: "Maxwell"
 PROV1196: "Raton"
 PROV1197: "Poza Rica"
 PROV1198: "Clayton"
 PROV1199: "Coshocton"
 PROV1200: "Vault 101"
 PROV1201: "Waynesboro"
 PROV1202: "Lennom"
 PROV1203: "Rivet"
 PROV1204: "Arbuckle"
 PROV1205: "Prestonburg"
 PROV1206: "Black Mt. Facility"
 PROV1207: "Boise City"
 PROV1208: "Makoua"
 PROV1209: "Colnett Sea"
 PROV1210: "Ira"
 PROV1211: "Turkim"
 PROV1212: "San Isabel"
 PROV1213: "Hoover Dam"
 PROV1214: "Mexico City"
 PROV1215: "Folsom"
 PROV1216: "Gulf of Baja"
 PROV1217: "Chasm"
 PROV1218: "Tonasket"
 PROV1219: "Franklin"
 PROV1220: "Coolin"
 PROV1221: "Sayulita"
 PROV1222: "Riske"
 PROV1223: "Antis"
 PROV1224: "Glenwood Springs"
 PROV1225: "Mojave Outpost"
 PROV1226: "Guadalajara"
 PROV1227: "Perryton"
 PROV1228: "Sisseton"
 PROV1229: "Burney"
 PROV1230: "Crystal City"
 PROV1231: "Fulshen"
 PROV1232: "Palus"
 PROV1233: "Murfreesboro"
 PROV1234: "Vallarta"
 PROV1235: "Moplank"
 PROV1236: "Allegheny"
 PROV1237: "NCR C. Facility"
 PROV1238: "Aguascalientes"
 PROV1239: "Colorado Springs"
 PROV1240: "Chinatown Outpost"
 PROV1241: "Tillying"
 PROV1242: "Cookeville"
 PROV1243: "Noquet"
 PROV1244: "Tepic"
 PROV1245: "Aburduun"
 PROV1246: "Turlock"
 PROV1247: "Austin"
 PROV1248: "Merrimack"
 PROV1249: "Yanktonai"
 PROV1250: "Kingsville"
 PROV1251: "Knoxville"
 PROV1252: "Bompton"
 PROV1253: "Modesto"
 PROV1254: "Broken Arrow"
 PROV1255: "Camp McCarran"
 PROV1256: "Kimball"
 PROV1257: "Alturas"
 PROV1258: "Great Wanamingo Mine"
 PROV1259: "Kilatika"
 PROV1260: "Fuerte"
 PROV1261: "Bitterwater"
 PROV1262: "Jonesboro"
 PROV1263: "Westside"
 PROV1264: "Mazatlan"
 PROV1265: "Goodneighbor"
 PROV1266: "Wahpeton"
 PROV1267: "" # Northern Wasteland
 PROV1268: "New Vegas"
 PROV1269: "Mardin"
 PROV1270: "Osage City"
 PROV1271: "Creel"
 PROV1272: "Jamik"
 PROV1273: "Fayettville"
 PROV1274: "North Freeside"
 PROV1275: "Durango"
 PROV1276: "Fort Collins Ruins"
 PROV1277: "Annapolis"
 PROV1278: "Waccamaw"
 PROV1279: "Forbidden Zone Dome "
 PROV1280: "Parsons"
 PROV1281: "Allentown"
 PROV1282: "Uoil"
 PROV1283: "Pleasanton"
 PROV1284: "Boulder City"
 PROV1285: "Vanegas"
 PROV1286: "Nipmuc"
 PROV1287: "Iowa City"
 PROV1288: "Lawton"
 PROV1289: "Ozark"
 PROV1290: "Hauntua"
 PROV1291: "Tioga"
 PROV1292: "Berkeley"
 PROV1293: "Ozark"
 PROV1294: "Ciudad Victoria"
 PROV1295: "Tremonton"
 PROV1296: "Citrus Heights"
 PROV1297: "Junktown"
 PROV1298: "Zuni"
 PROV1299: "Redding"
 PROV1300: "Ascaran"
 PROV1301: "Willma"
 PROV1302: "Washington"
 PROV1303: "Zaragoza"
 PROV1304: "Fortification Hill"
 PROV1305: "Albany"
 PROV1306: "Evansville"
 PROV1307: "Sac-Town"
 PROV1308: "Puesta del Sol"
 PROV1309: "New Haven"
 PROV1310: "San Dimas"
 PROV1311: "Concord"
 PROV1312: "Juno"
 PROV1313: "Camp Forlorn Hope"
 PROV1314: "Torreon"
 PROV1315: "Stockton"
PROV1316: "Arroyo"
 PROV1317: "" # West Coast Wasteland
 PROV1318: "Guymon"
 PROV1319: "Edwardville"
 PROV1320: "Santiago"
 PROV1321: "Watertown"
 PROV1322: "Victoria"
 PROV1323: "Cottonwood Cove"
 PROV1324: "Ciudad Apodaca"
 PROV1325: "Unami"
 PROV1326: "Lincoln"
 PROV1327: "Dallas"
 PROV1328: "Sawgut"
 PROV1329: "College Station"
 PROV1330: "Umatilla"
 PROV1331: "Vault 15"
 PROV1332: "Potomac"
 PROV1333: "Hitchiti"
 PROV1334: "Sokoki"
 PROV1335: "Seymour"
 PROV1336: "Mahkra Fishpacking"
 PROV1337: "Nye"
 PROV1338: "Osceolla"
 PROV1339: "D.C Mall"
 PROV1340: "Big-MT Collapsed Tunnel"
 PROV1341: "" # Mexican Wasteland
 PROV1342: "Athens"
 PROV1343: "Covenant"
 PROV1344: "Nanticoke"
 PROV1345: "Parsons Insane Asylum"
 PROV1346: "The Yuca Mountain"
 PROV1347: "Munsee"
 PROV1348: "Bunker Epsilon"
 PROV1349: "Southern Outskirts"
 PROV1350: "Eastern Outskirts"
 PROV1351: "San Francisco"
 PROV1352: "Asheboro"
 PROV1353: "Ouachita"
 PROV1354: "Arroyo Hunting Grounds"
 PROV1355: "Bannock"
 PROV1356: "Big Water"
 PROV1357: "Germantown"
 PROV1358: "Appleton"
 PROV1359: "Dickshooter"
 PROV1360: "Nipigon"
 PROV1361: "Sabine"
 PROV1362: "Wichita Falls"
 PROV1363: "Guaymas"
 PROV1364: "Natchitoches"
 PROV1365: "Cambridge"
 PROV1366: "Ais"
 PROV1367: "Cuauhtemoc"
 PROV1368: "Dover"
 PROV1369: "Jian"
 PROV1370: "Augusta"
 PROV1371: "Phoenix"
 PROV1372: "Cusabo"
 PROV1373: "Houston"
 PROV1374: "Nashville"
 PROV1375: "Shenandoah"
 PROV1376: "Toledo"
 PROV1377: "Syracuse"
 PROV1378: "Mocama"
 PROV1379: "Hartford"
 PROV1380: "Wea"
 PROV1381: "Colnett"
 PROV1382: "Watershed"
 PROV1383: "Great Salt Lake"
 PROV1384: "Lake Island"
 PROV1385: "La Grande Riviere"
 PROV1386: "Lac Michikamau"
 PROV1387: "Lac Manicouagan"
 PROV1388: "Lac Saint Jean"
 PROV1389: "Lake Champlain"
